condition,availability,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,worst_case_improvement,worst_20pct_mean_improvement,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct,worst_case_relative_improvement_pct,worst_20pct_mean_relative_improvement_pct
none_s0.0,1.0,e_grid_mwh,lower,12,-2.9431910446349385,-4.417488004440443,-1.5986225758304708,-6.06059320752388,-5.690043593604211,0.0009765625,-0.3056690532127067,-0.5397596156133302,-0.13561873179604508,-0.888784664017828,-0.6815980316012915
none_s0.0,1.0,co2_kg,lower,12,-897.9568303629493,-1851.3884885132672,-4.16653176663894,-2679.4951359521365,-2495.7023916144776,0.0048828125,-0.32154889239479534,-0.5693098640003945,-0.1496651744684726,-1.0194366936781187,-0.7250837615523018
none_s0.0,1.0,e_total_mwh,lower,12,-5.503632837832337,-9.884987506704249,-1.1844047427141124,-15.809971381174819,-13.08154106219043,0.0048828125,-0.29981863129120523,-0.5302159193627337,-0.06534683053085122,-0.8471110992610571,-0.7077063176954783
none_s0.0,1.0,e_cooling_mwh,lower,12,-4.461460481861944,-8.580434210364169,-0.7105003647417855,-15.282235280301848,-11.643939551217557,0.01220703125,-0.8931071131757928,-1.6278100616796465,-0.16635113879814317,-2.948559416361855,-2.257882862091558
none_s0.0,1.0,e_pump_mwh,lower,12,-1.042172355970269,-1.7273123640306665,-0.42948329311576317,-2.1230091714239023,-2.0838182916511143,0.00146484375,-7.14409351381177,-11.29845489697404,-3.344806572391506,-15.60371079794238,-13.005723069939737
none_s0.0,1.0,recommended_exceedance_degc_h,lower,12,-2.7454832185469513e-08,-2.3444047414500346e-07,1.1383990705660091e-07,-7.229607135172955e-07,-3.5345976693671827e-07,0.2333984375,,,,,
none_s0.0,1.0,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,1.0,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,1.0,p95_t_inlet_c,lower,12,0.13247814054249454,0.12400026227473886,0.14039363781612688,0.10982420201693088,0.1164205332388093,0.00048828125,,,,,
none_s0.0,1.0,p99_t_inlet_c,lower,12,0.09713831547087566,0.0708475101294976,0.1101856084894046,3.3976874647123623e-09,0.060744505935240056,0.00048828125,,,,,
none_s0.0,1.0,max_t_inlet_c,lower,12,0.005702234195250473,7.361989240450839e-09,0.021853551321024962,-7.36581625915278e-07,-3.581667501843337e-07,0.04248046875,,,,,
none_s0.0,1.0,min_allowable_headroom_c,higher,12,0.00570223419525077,8.389033763952133e-09,0.0218538068929793,-7.36581625915278e-07,-3.581667501843337e-07,0.04248046875,,,,,
none_s0.0,1.0,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,1.0,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
none_s0.0,1.0,temporal_rci_hi_pct,higher,12,-3.2684278986986706e-09,-2.79095715427502e-08,1.349700502473178e-08,-8.606673418398714e-08,-4.2078539763679146e-08,0.2333984375,,,,,
