country,mode,column,horizon,n_forecasts,mae,rmse,bias,coverage,mean_interval_width,adaptive_beta_floor
JPN,adaptive,fixed_load_mw,24,8736,0.6721470146534413,0.8315009306619705,-0.0023691641306841146,0.8975503663003663,1.0347455966580914,0.1
JPN,adaptive,flexible_arrival_mw,1,8736,0.10852129054352994,0.14459799418187608,-0.00011226330421623692,0.9004120879120879,0.17359504267200918,0.1
JPN,adaptive,flexible_arrival_mw,2,8736,0.1331337506672869,0.17670728296273938,-0.000180839277803362,0.9019001831501832,0.2201604088332663,0.1
JPN,adaptive,flexible_arrival_mw,3,8736,0.15489815263404882,0.20141301693600122,-0.00027931102521234433,0.90121336996337,0.2629180313994881,0.1
JPN,adaptive,flexible_arrival_mw,4,8736,0.16799520691399517,0.21576915220222545,-0.0003544644854810104,0.8985805860805861,0.27775523925966866,0.1
JPN,adaptive,flexible_arrival_mw,5,8736,0.1800105174721372,0.22952658672851295,-0.00043071354390508096,0.9010989010989011,0.2831070543288951,0.1
JPN,adaptive,flexible_arrival_mw,6,8736,0.1885010756055348,0.23880730284362903,-0.0004807252869174714,0.9017857142857143,0.30320748612913107,0.1
JPN,adaptive,flexible_arrival_mw,7,8736,0.19513390590982213,0.24616853066373373,-0.0005429437613547301,0.8945741758241759,0.3050852659824091,0.1
JPN,adaptive,flexible_arrival_mw,8,8736,0.19734979982591136,0.24839940462296345,-0.00057452941825517,0.896978021978022,0.31896573212993673,0.1
JPN,adaptive,flexible_arrival_mw,9,8736,0.2011856498512405,0.2508103902894712,-0.0005953025787154396,0.8957188644688645,0.3206033197899166,0.1
JPN,adaptive,flexible_arrival_mw,10,8736,0.20151587281063632,0.2515390508478696,-0.0005749211259134538,0.9002976190476191,0.33352844433691936,0.1
JPN,adaptive,flexible_arrival_mw,11,8736,0.20696676951354878,0.25782313330778706,-0.0006259685340764274,0.8985805860805861,0.329490454134122,0.1
JPN,adaptive,flexible_arrival_mw,12,8736,0.21075145057241396,0.26128334977223083,-0.0006390454211402359,0.8950320512820513,0.33705848702879604,0.1
JPN,adaptive,flexible_arrival_mw,13,8736,0.2188618541980527,0.27194672479912907,-0.0007272734019654006,0.894459706959707,0.3533653512825062,0.1
JPN,adaptive,flexible_arrival_mw,14,8736,0.2250271140502599,0.28103774236033924,-0.0007538656557459933,0.8968635531135531,0.3625512739637055,0.1
JPN,adaptive,flexible_arrival_mw,15,8736,0.22925726085338713,0.2889727064495201,-0.00076980328781167,0.892742673992674,0.3807814464882749,0.1
JPN,adaptive,flexible_arrival_mw,16,8736,0.23206128047481145,0.2935891726287016,-0.0007822330231389894,0.8948031135531136,0.38888311084271787,0.1
JPN,adaptive,flexible_arrival_mw,17,8736,0.23976456636199256,0.3028109200748679,-0.0008483253980536981,0.8912545787545788,0.41106563034589017,0.1
JPN,adaptive,flexible_arrival_mw,18,8736,0.24828784162985212,0.31161948857301536,-0.0009118747852859491,0.8917124542124543,0.4210464357854912,0.1
JPN,adaptive,flexible_arrival_mw,19,8736,0.25580836261462564,0.3195139536848369,-0.0009308094171064191,0.8917124542124543,0.422344033249478,0.1
JPN,adaptive,flexible_arrival_mw,20,8736,0.2605772839583554,0.3253977323962212,-0.0009202809424846333,0.8929716117216118,0.4285970069818357,0.1
JPN,adaptive,flexible_arrival_mw,21,8736,0.26636920298256017,0.33195734465751275,-0.0009358982430938494,0.8929716117216118,0.42033234600337327,0.1
JPN,adaptive,flexible_arrival_mw,22,8736,0.27029890841837056,0.3371935303809739,-0.0009302678138327854,0.8913690476190477,0.42718289863484976,0.1
JPN,adaptive,flexible_arrival_mw,23,8736,0.2814031973387461,0.34915180104797344,-0.0009867794532962817,0.8902243589743589,0.4380130046375158,0.1
JPN,adaptive,flexible_arrival_mw,24,8736,0.2880630062792492,0.3563575417118602,-0.0010153560574524096,0.8975503663003663,0.4434623986423372,0.1
JPN,adaptive,sst_c,1,8736,0.036099513792637594,0.04847051562763147,-6.783309844763024e-06,0.8997252747252747,0.0589267803452882,0.1
JPN,adaptive,sst_c,2,8736,0.0581571075412122,0.07528021273549687,-1.4324901627963002e-05,0.8976648351648352,0.09284825808895589,0.1
JPN,adaptive,sst_c,3,8736,0.07832505506026191,0.1028666956040533,-3.475876144385243e-05,0.8980082417582418,0.12417809124647532,0.1
JPN,adaptive,sst_c,4,8736,0.0993071550959561,0.13260656682094377,-5.6813903688433085e-05,0.8989239926739927,0.15423423398215688,0.1
JPN,adaptive,sst_c,5,8736,0.12169890692592683,0.16119125793035155,-8.025093297700422e-05,0.8968635531135531,0.18824813333822427,0.1
JPN,adaptive,sst_c,6,8736,0.14114679416723439,0.1865249595617641,-0.0001040097908030882,0.8953754578754579,0.2199234974482711,0.1
JPN,adaptive,sst_c,7,8736,0.1568810397791459,0.20804050464561766,-0.000127356580860657,0.8928571428571429,0.24764326375760995,0.1
JPN,adaptive,sst_c,8,8736,0.16879037138142658,0.2258949570723458,-0.0001611986639658601,0.8941163003663004,0.2705152361128132,0.1
JPN,adaptive,sst_c,9,8736,0.17832033436064842,0.24174186139980613,-0.00019301366244871463,0.894459706959707,0.2858406088132727,0.1
JPN,adaptive,sst_c,10,8736,0.18640064575971407,0.2568607939776277,-0.0002230016740451789,0.8915979853479854,0.29635438338441106,0.1
JPN,adaptive,sst_c,11,8736,0.1939518387039976,0.27161789121636143,-0.0002506511692789138,0.8918269230769231,0.3084026722483632,0.1
JPN,adaptive,sst_c,12,8736,0.20140810557223465,0.28619912782027274,-0.00028715151601224994,0.8930860805860806,0.31990088803097855,0.1
JPN,adaptive,sst_c,13,8736,0.20891819305167825,0.30038762329513513,-0.0003213215960529904,0.8943452380952381,0.33058079366104687,0.1
JPN,adaptive,sst_c,14,8736,0.21656205205956972,0.314552324841397,-0.00035188194406083923,0.8937728937728938,0.34242197851235195,0.1
JPN,adaptive,sst_c,15,8736,0.22383337223501582,0.3284859412725709,-0.0003790025165594416,0.892742673992674,0.35638643489754107,0.1
JPN,adaptive,sst_c,16,8736,0.2305581451032169,0.34167238598960803,-0.0004044041091729682,0.8917124542124543,0.3684807977802792,0.1
JPN,adaptive,sst_c,17,8736,0.23624249842499342,0.3538935143308622,-0.0004291776774752657,0.8938873626373627,0.3800583544243242,0.1
JPN,adaptive,sst_c,18,8736,0.24131847048054095,0.3651085630744199,-0.0004531851766358177,0.8923992673992674,0.39074290324920286,0.1
JPN,adaptive,sst_c,19,8736,0.24593314506710237,0.37529778551222537,-0.00047579338593708965,0.8912545787545788,0.4011281258943968,0.1
JPN,adaptive,sst_c,20,8736,0.24970738065352072,0.38420827199963403,-0.0004966955146920208,0.8915979853479854,0.41086281776668054,0.1
JPN,adaptive,sst_c,21,8736,0.2531062114814382,0.392112259162902,-0.0005175720363014854,0.8890796703296703,0.4185280517746383,0.1
JPN,adaptive,sst_c,22,8736,0.25650583213360034,0.3992482009028073,-0.0005491451416570444,0.8895375457875457,0.4257456244089201,0.1
JPN,adaptive,sst_c,23,8736,0.260346774999619,0.40633523772952446,-0.0005807935258429348,0.8864468864468864,0.4311941834425903,0.1
JPN,adaptive,sst_c,24,8736,0.26462051930542135,0.4141164144872575,-0.0006132798280885159,0.8870192307692307,0.4339963045540994,0.1
JPN,adaptive,wind_mw,1,8736,0.6915205753316765,1.3719969901849673,0.01534403046581002,0.9000686813186813,0.7853730115770996,0.1
JPN,adaptive,wind_mw,2,8736,1.2999506688784654,2.3318271221372657,0.02230731136249513,0.8984661172161172,1.4304100851236925,0.1
JPN,adaptive,wind_mw,3,8736,1.771104326588052,3.0156789409425135,0.022414451366271116,0.9006410256410257,1.8665285252005872,0.1
JPN,adaptive,wind_mw,4,8736,2.163750702532901,3.5532121533982153,0.01641679804998332,0.896978021978022,2.2014164175256017,0.1
JPN,adaptive,wind_mw,5,8736,2.5030191405211393,3.984448320747745,0.008590496871122847,0.8980082417582418,2.478337206404021,0.1
JPN,adaptive,wind_mw,6,8736,2.7964817823429047,4.333780951310966,0.002090938918200322,0.8968635531135531,2.7303438372553397,0.1
JPN,adaptive,wind_mw,7,8736,3.0605093794792233,4.633434005774698,-0.004032662110036128,0.8975503663003663,2.956096563221479,0.1
JPN,adaptive,wind_mw,8,8736,3.3059312131387695,4.899816031589838,-0.00945189913207912,0.8968635531135531,3.125526627599478,0.1
JPN,adaptive,wind_mw,9,8736,3.540909789231545,5.148247303356831,-0.013544255128192628,0.8953754578754579,3.2702669679802656,0.1
JPN,adaptive,wind_mw,10,8736,3.7465751876309947,5.3700082779935725,-0.01640136744864921,0.8941163003663004,3.4088125781016916,0.1
JPN,adaptive,wind_mw,11,8736,3.9290796598694087,5.566743962093536,-0.01721163684542011,0.8946886446886447,3.5295715569999895,0.1
JPN,adaptive,wind_mw,12,8736,4.09962359273995,5.7413736327013005,-0.015979641671814624,0.8948031135531136,3.622775148822557,0.1
JPN,adaptive,wind_mw,13,8736,4.2722430265218945,5.915942693891076,-0.014260355798529422,0.8921703296703297,3.7141896303088684,0.1
JPN,adaptive,wind_mw,14,8736,4.42911473559211,6.0730588551659475,-0.011873083038127641,0.8914835164835165,3.781284001944513,0.1
JPN,adaptive,wind_mw,15,8736,4.569155632839002,6.2124725907473035,-0.00956739196539786,0.8877060439560439,3.8468427287139386,0.1
JPN,adaptive,wind_mw,16,8736,4.694585530483353,6.3356844439450475,-0.007640950663674518,0.8878205128205128,3.9101478504826472,0.1
JPN,adaptive,wind_mw,17,8736,4.799350723312422,6.437260666363549,-0.0060246546781544934,0.8906822344322345,3.952597313107932,0.1
JPN,adaptive,wind_mw,18,8736,4.882045806496315,6.520453774296204,-0.004792968206874826,0.8898809523809523,4.003887353251666,0.1
JPN,adaptive,wind_mw,19,8736,4.954696000554896,6.587683381175643,-0.004512235890762063,0.8899954212454212,4.045547575964992,0.1
JPN,adaptive,wind_mw,20,8736,5.013573289912936,6.641181469262994,-0.005166304654349555,0.8903388278388278,4.085579232797853,0.1
JPN,adaptive,wind_mw,21,8736,5.066738276483416,6.684406917974436,-0.006613822082386037,0.8887362637362637,4.122730843826329,0.1
JPN,adaptive,wind_mw,22,8736,5.115093101712234,6.7205674049189685,-0.008150953528035503,0.8862179487179487,4.156682980749698,0.1
JPN,adaptive,wind_mw,23,8736,5.155891338455511,6.746799921472926,-0.010082009614171005,0.8858745421245421,4.177639754084455,0.1
JPN,adaptive,wind_mw,24,8736,5.188714889684127,6.764945714007729,-0.011988792111577768,0.8858745421245421,4.199708627630932,0.1
JPN,adaptive,carbon_kg_per_mwh,1,8736,7.24737592633023,10.322143660033666,-0.00452845017839569,0.8968635531135531,10.457299048254248,0.1
JPN,adaptive,carbon_kg_per_mwh,2,8736,17.189183590475146,23.1887114157885,-0.014524911655372393,0.8966346153846154,24.402263015075413,0.1
JPN,adaptive,carbon_kg_per_mwh,3,8736,25.685741109410987,33.72350430139506,-0.026532596495832932,0.8954899267399268,38.6649087742633,0.1
JPN,adaptive,carbon_kg_per_mwh,4,8736,30.662148936540056,39.891185066258885,-0.03832875616729266,0.8941163003663004,48.014298573259936,0.1
JPN,adaptive,carbon_kg_per_mwh,5,8736,32.53070470967028,42.693509332061225,-0.04814749180741839,0.8914835164835165,49.88516488259219,0.1
JPN,adaptive,carbon_kg_per_mwh,6,8736,33.43728937635877,44.482305021514556,-0.05381631544310135,0.8926282051282052,50.53361864677183,0.1
JPN,adaptive,carbon_kg_per_mwh,7,8736,35.0077066356402,46.710295890628124,-0.05386649998469341,0.8954899267399268,51.761979636510574,0.1
JPN,adaptive,carbon_kg_per_mwh,8,8736,37.03618062243031,49.06024582008132,-0.050036694208368225,0.8974358974358975,54.79122942751853,0.1
JPN,adaptive,carbon_kg_per_mwh,9,8736,38.73203101497664,50.63088440720516,-0.045983310561659864,0.8968635531135531,58.695523505324864,0.1
JPN,adaptive,carbon_kg_per_mwh,10,8736,39.1634089522013,51.07673953264049,-0.04150354997807666,0.894459706959707,59.86238033139001,0.1
JPN,adaptive,carbon_kg_per_mwh,11,8736,37.16924413491713,49.79246443731806,-0.03717596265879157,0.8901098901098901,55.2866216754615,0.1
JPN,adaptive,carbon_kg_per_mwh,12,8736,32.6266290710349,47.415981336290784,-0.03510834604149234,0.8896520146520146,46.20403165751331,0.1
JPN,adaptive,carbon_kg_per_mwh,13,8736,29.616739919931018,46.06178368138496,-0.0376102805195368,0.8905677655677655,41.22117667950629,0.1
JPN,adaptive,carbon_kg_per_mwh,14,8736,31.022498035858547,46.60712154121625,-0.0443630741118486,0.8935439560439561,46.5883929633065,0.1
JPN,adaptive,carbon_kg_per_mwh,15,8736,33.300457945942505,47.76229632461396,-0.05197896969208722,0.8954899267399268,52.32699359926284,0.1
JPN,adaptive,carbon_kg_per_mwh,16,8736,33.294978838947635,47.61496106426817,-0.057236651106439974,0.8938873626373627,52.375268445671175,0.1
