country,mode,column,n_forecasts,mae,rmse,bias,coverage,mean_interval_width,adaptive_beta_floor
NOR,nominal,sst_c,209664,0.1721548322723318,0.2557405881931058,0.011255139179559209,,,0.1
NOR,nominal,wind_mw,209664,1.641972279306593,2.447072640770206,-0.0038748387448726586,,,0.1
NOR,nominal,carbon_kg_per_mwh,209664,0.9606494650127714,1.4068808574885059,-0.5039309248716286,,,0.1
NOR,static,fixed_load_mw,209664,0.4870627472399004,0.6157226246531211,0.010778489503145264,0.8447516025641025,0.6327282900290677,0.1
NOR,static,flexible_arrival_mw,209664,0.20874117738587214,0.2638811248503858,0.004619352644378403,0.8447516025641025,0.27116926948822323,0.1
NOR,static,sst_c,209664,0.18213232695662931,0.26317869310984715,-0.056667460755765314,0.9532537774725275,0.4096855294468086,0.1
NOR,static,wind_mw,209664,1.7210855059069983,2.45921560331536,-0.2294594183216369,0.9656116452991453,1.933797547036624,0.1
NOR,static,carbon_kg_per_mwh,209664,0.7176823152883806,1.256284729146756,0.4597013767629286,0.8378119276556777,0.9441476174210195,0.1
NOR,adaptive,fixed_load_mw,209664,0.5018361562551709,0.6433250038193927,-0.0015462023150466973,0.8960336538461539,0.813079157176147,0.1
NOR,adaptive,flexible_arrival_mw,209664,0.21507263839501534,0.2757107159225432,-0.0006626581350941267,0.8960336538461539,0.34846249595343887,0.1
NOR,adaptive,sst_c,209664,0.21400332030620847,0.3202261999367797,-0.0013691731649963616,0.894860347985348,0.35158662467181806,0.1
NOR,adaptive,wind_mw,209664,1.745212358910795,2.8673541467146597,-0.024228029712937898,0.8940447573260073,1.2810325071047306,0.1
NOR,adaptive,carbon_kg_per_mwh,209664,0.7335299133341585,1.3184913487064152,-0.04773146847158393,0.9236969627594628,1.0966244422354356,0.1
IND,nominal,fixed_load_mw,209664,0.48609815298323783,0.6143902328930488,-0.0008376579781989248,,,0.1
IND,nominal,flexible_arrival_mw,209664,0.208327779849959,0.2633100998113066,-0.0003589962763708836,,,0.1
IND,nominal,sst_c,209664,0.08998198588893033,0.12334947813379923,-0.0012964562674176248,,,0.1
IND,nominal,wind_mw,209664,1.5286161865010661,2.2877433513309686,0.04878381523707862,,,0.1
IND,nominal,carbon_kg_per_mwh,209664,28.051537336237736,37.3086635122583,-0.9079335855188403,,,0.1
IND,static,fixed_load_mw,209664,0.4860924672572741,0.6145051857243834,0.01121422101707842,0.8455242673992674,0.6334162772959441,0.1
IND,static,flexible_arrival_mw,209664,0.20832534310991124,0.26335936530996407,0.004806094701189786,0.8455242673992674,0.2714641180578982,0.1
IND,static,sst_c,209664,0.09120999090170913,0.12507001982190583,0.01968362417855026,0.8481952075702076,0.13034855414093252,0.1
IND,static,wind_mw,209664,1.5554074140685596,2.2894982749957005,-0.09521979465380709,0.8600951999389499,1.460534127658302,0.1
IND,static,carbon_kg_per_mwh,209664,28.53929389463546,37.40539339205051,2.8118168746962606,0.7647092490842491,27.621053274699197,0.1
IND,adaptive,fixed_load_mw,209664,0.5010695278342373,0.6423870228873084,-0.0015387123182735967,0.8960002670940171,0.8122237785492428,0.1
IND,adaptive,flexible_arrival_mw,209664,0.21474408335751774,0.2753087240945336,-0.0006594481364741843,0.8960002670940171,0.3480959050472201,0.1
IND,adaptive,sst_c,209664,0.10303781873121573,0.1404494362802227,2.2462931994423053e-05,0.8952228327228328,0.16344205521372213,0.1
IND,adaptive,wind_mw,209664,1.534034977132032,2.5262180183409257,-0.02665161003771585,0.9023819062881563,1.607025779115944,0.1
IND,adaptive,carbon_kg_per_mwh,209664,33.372850130925606,45.580978676180166,0.020460120815660707,0.8890558226495726,48.07853725174838,0.1
PRT,nominal,fixed_load_mw,209664,0.48707373092688333,0.6156157771191997,-0.0008308306831467971,,,0.1
PRT,nominal,flexible_arrival_mw,209664,0.20874588468294997,0.26383533305108564,-0.0003560702927771168,,,0.1
PRT,nominal,sst_c,209664,0.16633237477022253,0.2636306878183617,-0.012859864246207098,,,0.1
