panel,scenario,country,season,start_hour,metric,value,unit,eact_value,static_value
d,adverse_bias,CAN,Q1,336,total_energy_increase_pct,0.200427966789,%,1375.44911011,1372.69783974
d,adverse_bias,CAN,Q2,2496,total_energy_increase_pct,0.271361213978,%,1603.66046876,1599.32053315
d,adverse_bias,CAN,Q3,4680,total_energy_increase_pct,0.301745753874,%,1537.48926142,1532.86390966
d,adverse_bias,CAN,Q4,6888,total_energy_increase_pct,0.327754381344,%,1408.95242469,1404.34960732
d,adverse_bias,CHN,Q1,336,total_energy_increase_pct,0.210137625878,%,1369.86366082,1366.99109818
d,adverse_bias,CHN,Q2,2496,total_energy_increase_pct,1.00173472266,%,1701.29008297,1684.41669605
d,adverse_bias,CHN,Q3,4680,total_energy_increase_pct,-1.85403143887,%,1818.87827561,1853.23788871
d,adverse_bias,CHN,Q4,6888,total_energy_increase_pct,0.684384719821,%,1613.10656911,1602.14175574
d,adverse_bias,GBR,Q1,336,total_energy_increase_pct,0.232849889354,%,1372.85968523,1369.6704092
d,adverse_bias,GBR,Q2,2496,total_energy_increase_pct,0.456747151671,%,1628.11770713,1620.7151369
d,adverse_bias,GBR,Q3,4680,total_energy_increase_pct,0.15513108486,%,1570.76285759,1568.32989042
d,adverse_bias,GBR,Q4,6888,total_energy_increase_pct,0.84735905734,%,1447.64008554,1435.47644586
d,adverse_bias,IDN,Q1,336,total_energy_increase_pct,0.607067026842,%,1637.78958018,1627.90709299
d,adverse_bias,IDN,Q2,2496,total_energy_increase_pct,0.64740786011,%,1924.63805741,1912.25794915
d,adverse_bias,IDN,Q3,4680,total_energy_increase_pct,0.253762799842,%,1739.42016763,1735.01733905
d,adverse_bias,IDN,Q4,6888,total_energy_increase_pct,0.405238669074,%,1655.41305372,1648.7317551
d,adverse_bias,IND,Q1,336,total_energy_increase_pct,0.473979065446,%,1577.72831486,1570.28549037
d,adverse_bias,IND,Q2,2496,total_energy_increase_pct,0.564062366955,%,1904.4792541,1893.79705759
d,adverse_bias,IND,Q3,4680,total_energy_increase_pct,0.508532429793,%,1718.73911422,1710.04299105
d,adverse_bias,IND,Q4,6888,total_energy_increase_pct,0.539191316998,%,1628.93716311,1620.20117903
